student_id,projects_completed
1,2
2,3
3,4
4,1
5,3
6,2
7,2
8,0
9,3
10,0
11,1
12,0
13,1
14,2
15,0
16,0
17,4
18,2
19,4
20,1
21,1
22,2
23,1
24,2
25,1
26,3
27,0
28,3
29,2
30,2
31,3
32,0
33,0
34,4
35,1
36,4
37,0
38,3
39,1
40,3
41,4
42,2
43,3
44,4
45,4
46,4
47,2
48,2
49,2
50,1
51,2
52,2
53,2
54,3
55,2
56,1
57,4
58,3
59,0
60,2
61,4
62,4
63,3
64,0
65,1
66,4
67,4
68,4
69,4
70,3
71,0
72,4
73,1
74,1
75,2
76,4
77,4
78,4
79,4
80,4
81,1
82,0
83,0
84,2
85,1
86,4
87,0
88,3
89,3
90,3
91,4
92,4
93,2
94,2
95,2
96,3
97,4
98,3
99,2
100,4
101,1
102,0
103,0
104,2
105,3
106,1
107,4
108,3
109,2
110,3
111,2
112,0
113,0
114,3
115,1
116,4
117,2
118,4
119,0
120,1
121,1
122,4
123,0
124,4
125,3
126,1
127,1
128,3
129,0
130,1
131,2
132,2
133,0
134,3
135,4
136,0
137,4
138,0
139,2
140,3
141,2
142,3
143,4
144,0
145,1
146,1
147,3
148,3
149,2
150,1
151,2
152,4
153,1
154,4
155,0
156,2
157,3
158,1
159,2
160,3
161,0
162,1
163,4
164,0
165,3
166,1
167,1
168,0
169,1
170,3
171,0
172,4
173,0
174,0
175,4
176,3
177,2
178,2
179,4
180,3
181,1
182,4
183,2
184,3
185,0
186,3
187,3
188,2
189,2
190,1
191,1
192,4
193,0
194,1
195,2
196,3
197,4
198,1
199,3
200,3
201,1
202,0
203,0
204,4
205,0
206,4
207,2
208,1
209,3
210,4
211,0
212,4
213,4
214,0
215,0
216,1
217,3
218,1
219,1
220,0
221,0
222,3
223,4
224,1
225,3
226,1
227,4
228,1
229,2
230,3
231,0
232,1
233,3
234,3
235,1
236,0
237,0
238,1
239,3
240,0
241,1
242,1
243,1
244,3
245,0
246,3
247,2
248,0
249,3
250,0
251,2
252,4
253,1
254,3
255,2
256,2
257,0
258,0
259,1
260,0
261,3
262,3
263,3
264,4
265,3
266,0
267,0
268,3
269,2
270,2
271,2
272,1
273,4
274,3
275,1
276,2
277,3
278,1
279,0
280,2
281,1
282,0
283,2
284,4
285,2
286,4
287,4
288,4
289,3
290,3
291,4
292,0
293,4
294,1
295,4
296,3
297,3
298,1
299,1
300,2
301,0
302,0
303,0
304,3
305,0
306,2
307,2
308,0
309,1
310,2
311,1
312,3
313,2
314,1
315,0
316,3
317,4
318,4
319,0
320,3
321,3
322,3
323,3
324,4
325,1
326,3
327,1
328,3
329,2
330,2
331,2
332,3
333,1
334,4
335,0
336,4
337,3
338,2
339,2
340,1
341,3
342,4
343,3
344,3
345,2
346,4
347,0
348,2
349,4
350,1
351,2
352,1
353,2
354,3
355,4
356,1
357,2
358,1
359,2
360,2
361,0
362,0
363,0
364,1
365,3
366,2
367,4
368,0
369,1
370,1
371,1
372,4
373,4
374,0
375,4
376,0
377,4
378,4
379,4
380,0
381,2
382,0
383,2
384,1
385,1
386,0
387,2
388,2
389,2
390,1
391,0
392,3
393,2
394,2
395,3
396,0
397,2
398,0
399,2
400,4
401,2
402,4
403,0
404,2
405,1
406,1
407,3
408,1
409,4
410,1
411,1
412,1
413,2
414,3
415,0
416,3
417,4
418,2
419,2
420,1
421,1
422,4
423,2
424,0
425,3
426,2
427,0
428,0
429,3
430,0
431,4
432,0
433,4
434,0
435,1
436,0
437,4
438,0
439,0
440,0
441,4
442,0
443,3
444,3
445,4
446,1
447,3
448,2
449,3
450,2
451,4
452,1
453,2
454,2
455,3
456,2
457,4
458,4
459,4
460,3
461,1
462,3
463,4
464,3
465,4
466,0
467,0
468,2
469,1
470,0
471,4
472,3
473,3
474,2
475,3
476,0
477,3
478,0
479,0
480,1
481,2
482,4
483,0
484,2
485,4
486,3
487,2
488,2
489,2
490,3
491,3
492,2
493,1
494,0
495,3
496,1
497,3
498,2
499,1
500,4
501,0
502,0
503,3
504,0
505,4
506,1
507,1
508,2
509,1
510,3
511,4
512,2
513,3
514,3
515,3
516,0
517,3
518,0
519,1
520,0
521,3
522,4
523,4
524,1
525,3
526,0
527,4
528,2
529,3
530,3
531,2
532,4
533,2
534,1
535,0
536,0
537,4
538,2
539,3
540,3
541,3
542,1
543,1
544,3
545,4
546,1
547,1
548,0
549,0
550,4
551,1
552,1
553,2
554,4
555,4
556,2
557,2
558,0
559,4
560,4
561,2
562,3
563,3
564,0
565,3
566,3
567,3
568,1
569,0
570,2
571,3
572,1
573,3
574,1
575,0
576,3
577,1
578,4
579,4
580,1
581,3
582,3
583,0
584,0
585,2
586,0
587,3
588,2
589,0
590,1
591,4
592,0
593,0
594,1
595,3
596,1
597,0
598,3
599,2
600,0
601,1
602,2
603,4
604,2
605,1
606,2
607,1
608,0
609,3
610,4
611,3
612,3
613,3
614,1
615,1
616,4
617,1
618,1
619,1
620,1
621,0
622,4
623,1
624,4
625,2
626,0
627,1
628,0
629,0
630,2
631,4
632,0
633,3
634,2
635,3
636,2
637,3
638,3
639,0
640,0
641,2
642,4
643,0
644,0
645,1
646,0
647,4
648,1
649,3
650,3
651,1
652,1
653,1
654,2
655,4
656,4
657,3
658,3
659,3
660,0
661,3
662,1
663,3
664,1
665,2
666,0
667,0
668,4
669,2
670,1
671,2
672,0
673,1
674,2
675,0
676,1
677,1
678,0
679,1
680,0
681,3
682,3
683,1
684,1
685,0
686,1
687,4
688,3
689,1
690,1
691,2
692,1
693,4
694,3
695,2
696,0
697,0
698,3
699,0
700,4
701,1
702,3
703,2
704,1
705,0
706,0
707,2
708,4
709,2
710,3
711,2
712,0
713,4
714,4
715,2
716,3
717,0
718,1
719,4
720,2
721,3
722,3
723,0
724,4
725,0
726,1
727,1
728,1
729,3
730,4
731,0
732,0
733,1
734,4
735,4
736,2
737,4
738,4
739,0
740,4
741,4
742,0
743,4
744,0
745,2
746,3
747,0
748,0
749,4
750,0
751,1
752,1
753,2
754,0
755,4
756,4
757,3
758,2
759,4
760,3
761,4
762,3
763,1
764,1
765,4
766,2
767,0
768,2
769,2
770,0
771,1
772,1
773,0
774,3
775,2
776,4
777,1
778,4
779,0
780,4
781,4
782,2
783,0
784,4
785,1
786,0
787,1
788,3
789,4
790,0
791,1
792,4
793,2
794,1
795,1
796,3
797,2
798,3
799,2
800,1
801,3
802,4
803,2
804,1
805,0
806,2
807,2
808,4
809,2
810,2
811,4
812,4
813,3
814,1
815,1
816,3
817,1
818,2
819,3
820,3
821,1
822,0
823,1
824,0
825,3
826,0
827,2
828,4
829,0
830,4
831,2
832,4
833,2
834,4
835,4
836,1
837,0
838,4
839,3
840,1
841,0
842,1
843,0
844,2
845,4
846,3
847,1
848,1
849,1
850,1
851,4
852,0
853,4
854,2
855,4
856,4
857,2
858,4
859,0
860,3
861,2
862,1
863,0
864,3
865,0
866,0
867,1
868,3
869,0
870,1
871,2
872,1
873,4
874,1
875,1
876,1
877,0
878,3
879,1
880,1
881,4
882,4
883,2
884,2
885,4
886,3
887,2
888,3
889,4
890,2
891,1
892,4
893,2
894,3
895,3
896,2
897,3
898,2
899,2
900,3
901,0
902,1
903,4
904,1
905,4
906,4
907,1
908,2
909,3
910,0
911,0
912,0
913,1
914,1
915,2
916,0
917,2
918,0
919,1
920,3
921,3
922,3
923,3
924,4
925,0
926,3
927,4
928,4
929,4
930,2
931,2
932,4
933,3
934,0
935,1
936,2
937,3
938,3
939,1
940,1
941,3
942,1
943,3
944,1
945,1
946,3
